50 10493.2
49 10499.5
48 10497.4
47 10499.6
46 10500.5
45 10499.4
44 10496.1
43 10495.1
42 10497.7
41 10491.8
40 10492.9
39 10492.2
38 10491.9
37 10496.2
36 10524.3
35 10545.6
34 10589.2
33 10616.3
32 10639.7
31 10672.9
30 10700.8
29 10748.0
28 10774.2
27 10822.4
26 10862.1
25 10909.4
24 10964.6
23 11005.4
22 11090.4
21 11139.3
20 11228.8
19 11326.8
18 11420.9
17 11505.5
16 11576.0
15 11717.0
14 11861.8
13 12025.5
12 12250.5
11 12447.0
10 12815.1
9 13070.1
8 13433.5
7 13849.9
6 14301.9
5 15268.0
4 15848.9
3 17370.0
2 19171.4
1 21327.5
