0 32798.3
1 29099.2
2 28003.9
3 28558.7
4 28425.0
5 28386.0
6 29374.7
7 28621.1
8 28975.1
9 29200.5
10 28402.6
11 26594.9
12 21142.1
13 20291.3
14 17679.5
15 16799.5
16 15560.8
17 14769.3
18 14258.7
19 13749.4
20 13324.3
21 13023.7
22 12618.2
23 12255.5
24 12036.4
25 11850.8
26 11616.0
27 11575.5
28 11429.5
29 11283.3
30 11161.1
31 11061.2
32 10978.5
33 10897.7
34 10848.0
35 10788.3
36 10723.4
37 10680.6
38 10632.9
39 10601.6
40 10583.3
41 10542.8
42 10513.0
43 10471.7
44 10443.2
45 10416.8
46 10408.1
47 10371.0
48 10347.5
49 10342.7
