50 10521.6
49 10507.6
48 10508.7
47 10511.6
46 10508.4
45 10510.5
44 10508.8
43 10510.1
42 10509.3
41 10510.7
40 10511.7
39 10514.4
38 10516.5
37 10539.3
36 10554.4
35 10584.8
34 10612.7
33 10635.8
32 10660.0
31 10690.6
30 10703.4
29 10749.9
28 10780.9
27 10826.8
26 10887.8
25 10946.0
24 10996.6
23 11046.1
22 11132.6
21 11145.3
20 11232.4
19 11311.0
18 11413.8
17 11530.5
16 11628.8
15 11775.2
14 11916.0
13 12174.7
12 12381.9
11 12621.9
10 12958.8
9 13240.4
8 13692.3
7 14093.7
6 14553.2
5 15841.9
4 16426.6
3 18385.9
2 19748.9
1 22070.5
